movieId,tmdbId,tmdbposter,genres,title
1,862,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Adventure|Animation|Children|Comedy|Fantasy,Toy Story (1995)
2,8844,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,Adventure|Children|Fantasy,Jumanji (1995)
3,15602,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,Comedy|Romance,Grumpier Old Men (1995)
4,31357,/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,Comedy|Drama|Romance,Waiting to Exhale (1995)
5,11862,/e64sOI48hQXyru7naBFyssKFxVd.jpg,Comedy,Father of the Bride Part II (1995)
6,949,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,Action|Crime|Thriller,Heat (1995)
7,11860,/zENmHYYCsR6xgdyh2uHXPX4tyXE.jpg,Comedy|Romance,Sabrina (1995)
8,45325,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,Adventure|Children,Tom and Huck (1995)
9,9091,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,Action,Sudden Death (1995)
10,710,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,Action|Adventure|Thriller,GoldenEye (1995)
11,9087,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,Comedy|Drama|Romance,"American President, The (1995)"
12,12110,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,Comedy|Horror,Dracula: Dead and Loving It (1995)
13,21032,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,Adventure|Animation|Children,Balto (1995)
14,10858,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,Drama,Nixon (1995)
15,1408,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Action|Adventure|Romance,Cutthroat Island (1995)
16,524,/jC0dqpkRMwh3A1X2PHahTxOaLbp.jpg,Crime|Drama,Casino (1995)
17,4584,/1ryNXjmwdCTqLXxXCG9BGvZyMOH.jpg,Drama|Romance,Sense and Sensibility (1995)
18,5,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Comedy,Four Rooms (1995)
19,9273,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,Comedy,Ace Ventura: When Nature Calls (1995)
20,11517,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,Action|Comedy|Crime|Drama|Thriller,Money Train (1995)
21,8012,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,Comedy|Crime|Thriller,Get Shorty (1995)
22,1710,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,Crime|Drama|Horror|Mystery|Thriller,Copycat (1995)
